Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 SS (dBm),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/08/19 14:51:28,2.17,37.79482,-122.26744,24.934,1.458,0.0,-71,3.134,0.708,0.296
2014/08/19 14:51:33,2.17,37.79485,-122.26743,30.512,0.197,0.0,-71,2.619,0.917,0.299
2014/08/19 14:51:38,2.17,37.79485,-122.26741,34.121,0.231,0.0,-71,2.808,0.417,0.168
2014/08/19 14:51:43,2.18,37.79484,-122.26742,38.714,2.963,0.0,-71,2.179,0.333,0.905
2014/08/19 14:51:48,2.25,37.79477,-122.26733,38.386,7.759,0.0,-81,1.071,0.083,2.153
2014/08/19 14:51:53,2.25,37.79475,-122.26713,51.837,9.184,0.0,-81,1.240,0.292,0.388
2014/08/19 14:51:58,2.18,37.79472,-122.26696,44.619,5.415,0.0,-81,1.344,0.250,0.629
2014/08/19 14:52:03,2.18,37.79474,-122.26681,38.386,6.372,0.0,-81,1.192,0.500,0.822
2014/08/19 14:52:08,2.18,37.79481,-122.26667,33.465,8.017,0.0,-81,1.881,0.292,0.430
2014/08/19 14:52:13,2.18,37.79468,-122.26632,34.449,19.772,0.0,-81,0.994,0.000,1.608
2014/08/19 14:52:18,2.56,37.79445,-122.26577,38.714,28.892,0.0,-81,1.552,0.167,0.409
2014/08/19 14:52:23,2.18,37.79407,-122.26508,37.073,36.862,0.0,-75,2.352,0.417,0.257
2014/08/19 14:52:28,2.18,37.79356,-122.26428,35.761,42.492,0.0,-75,2.833,0.458,0.269
2014/08/19 14:52:33,2.18,37.79291,-122.26346,39.698,48.810,0.0,-75,1.769,0.500,0.399
2014/08/19 14:52:38,2.19,37.79219,-122.26257,56.430,51.775,0.0,-75,0.736,0.000,0.633
2014/08/19 14:52:43,2.19,37.79144,-122.26167,66.929,50.182,0.0,-75,1.354,0.208,0.398
2014/08/19 14:52:48,2.19,37.79077,-122.26074,70.866,48.988,0.0,-75,0.996,1.375,0.497
2014/08/19 14:52:53,2.19,37.79025,-122.25965,70.210,51.427,0.0,-57,0.590,1.042,0.696
2014/08/19 14:52:58,1.88,37.78988,-122.25841,63.976,52.421,0.0,-57,1.929,0.500,0.309
2014/08/19 14:53:03,1.88,37.78964,-122.25709,50.525,55.798,0.0,-57,3.125,1.000,0.198
2014/08/19 14:53:08,1.87,37.78940,-122.25565,37.730,59.816,0.0,-57,2.959,0.875,0.214
2014/08/19 14:53:13,1.87,37.78913,-122.25415,37.730,61.924,0.0,-57,3.173,0.708,0.268
2014/08/19 14:53:18,1.87,37.78882,-122.25259,38.386,62.929,0.0,-57,2.840,1.292,0.330
2014/08/19 14:53:23,1.87,37.78842,-122.25104,40.026,66.966,0.0,-57,2.487,0.000,0.233
2014/08/19 14:53:28,1.87,37.78793,-122.24947,41.010,66.191,0.0,-57,3.016,0.500,0.329
2014/08/19 14:53:33,1.87,37.78739,-122.24797,39.698,65.107,0.0,-57,2.080,0.500,0.161
2014/08/19 14:53:38,1.87,37.78678,-122.24649,40.682,67.147,0.0,-57,0.714,0.000,4.374
2014/08/19 14:53:43,1.87,37.78604,-122.24503,39.042,68.878,0.0,-57,0.814,0.375,0.279
2014/08/19 14:53:48,1.87,37.78530,-122.24362,36.745,64.139,0.0,-57,1.750,0.625,0.588
2014/08/19 14:53:53,1.87,37.78458,-122.24225,30.840,65.174,0.0,-51,2.712,1.500,0.232
2014/08/19 14:53:58,2.2,37.78382,-122.24092,30.184,64.387,0.0,-51,0.000,0.958,0.176
2014/08/19 14:54:03,2.2,37.78294,-122.23978,29.528,61.045,0.0,-51,2.179,0.417,0.190
2014/08/19 14:54:08,2.2,37.78191,-122.23903,30.840,58.837,0.0,-51,1.945,1.333,0.491
2014/08/19 14:54:13,1.87,37.78080,-122.23857,31.496,59.504,0.0,-51,2.580,1.708,0.247
2014/08/19 14:54:18,2.09,37.77962,-122.23814,25.919,61.619,0.0,-51,2.882,1.750,0.308
2014/08/19 14:54:23,2.09,37.77846,-122.23764,19.029,59.829,0.0,-51,2.990,1.000,0.222
2014/08/19 14:54:28,2.33,37.77739,-122.23691,14.764,62.226,0.0,-59,3.244,0.625,1.089
2014/08/19 14:54:33,1.82,37.77644,-122.23590,16.404,59.892,0.0,-59,1.256,0.458,0.918
2014/08/19 14:54:38,1.82,37.77567,-122.23474,22.638,60.591,0.0,-59,1.157,0.000,0.820
2014/08/19 14:54:43,1.82,37.77506,-122.23346,27.231,56.502,0.0,-59,0.958,0.250,0.769
2014/08/19 14:54:48,1.82,37.77462,-122.23216,31.496,54.286,0.0,-59,0.990,0.250,0.398
2014/08/19 14:54:53,1.82,37.77420,-122.23093,39.370,49.630,0.0,-59,1.552,0.375,0.000
