Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/10/02 09:28:33,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,
2014/10/02 09:28:38,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,0.226
2014/10/02 09:28:43,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.089,0.083,0.284
2014/10/02 09:28:48,0.0,0.00000,0.00000,0.000,0.000,0.0,0,1.350,0.792,0.435
2014/10/02 09:28:53,0.0,0.00000,0.00000,0.000,0.000,0.0,0,1.337,0.833,0.493
2014/10/02 09:28:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.609,0.542,0.392
2014/10/02 09:29:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.554,0.542,0.234
2014/10/02 09:29:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.147,1.417,0.406
2014/10/02 09:29:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.774,1.708,0.489
2014/10/02 09:29:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.830,1.458,0.665
2014/10/02 09:29:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.217,1.000,0.545
2014/10/02 09:29:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.231,0.917,0.740
2014/10/02 09:29:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.359,1.458,0.848
2014/10/02 09:29:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.542,0.000,0.144
2014/10/02 09:29:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.279,1.167,0.360
2014/10/02 09:29:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.295,1.208,0.861
2014/10/02 09:29:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.897,1.417,1.169
2014/10/02 09:29:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.517,0.833,0.000
2014/10/02 09:30:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.417,1.083,0.481
2014/10/02 09:30:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.516,1.000,1.066
2014/10/02 09:30:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.540,1.375,0.441
2014/10/02 09:30:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.103,1.708,0.504
2014/10/02 09:30:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.954,1.750,0.417
2014/10/02 09:30:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.457,0.000,0.812
2014/10/02 09:30:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.776,1.458,0.000
2014/10/02 09:30:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.631,0.250,0.653
2014/10/02 09:30:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.850,1.208,1.378
2014/10/02 09:30:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.782,0.000,0.000
2014/10/02 09:30:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.839,0.875,0.428
2014/10/02 09:30:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.035,1.208,0.485
2014/10/02 09:31:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.275,1.875,0.602
2014/10/02 09:31:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,0.668,1.708,0.515
2014/10/02 09:31:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.423,1.875,0.456
2014/10/02 09:31:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.522,1.667,0.441
2014/10/02 09:31:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.616,1.375,0.389
2014/10/02 09:31:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-81,1.820,1.083,0.241
2014/10/02 09:31:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.340,1.208,0.549
2014/10/02 09:31:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.877,1.000,0.533
2014/10/02 09:31:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.918,1.750,0.688
2014/10/02 09:31:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,1.150,0.000,0.504
2014/10/02 09:31:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.000,0.000,0.170
2014/10/02 09:31:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-83,0.000,0.000,2.209
2014/10/02 09:32:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.382
2014/10/02 09:32:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.149
2014/10/02 09:32:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.169
2014/10/02 09:32:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,1.333
2014/10/02 09:32:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.369
2014/10/02 09:32:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.370
2014/10/02 09:32:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.370
2014/10/02 09:32:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.361
2014/10/02 09:32:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.905
2014/10/02 09:32:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.214
2014/10/02 09:32:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.244
2014/10/02 09:32:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-79,0.000,0.000,0.524
2014/10/02 09:33:03,1.98,37.79570,-122.26675,278.871,0.622,0.0,-79,0.000,0.000,0.251
2014/10/02 09:33:08,1.82,37.79568,-122.26668,285.433,0.254,0.0,-81,0.000,0.000,0.149
2014/10/02 09:33:13,1.82,37.79571,-122.26676,298.556,0.026,0.0,-81,0.000,0.000,0.216
2014/10/02 09:33:18,1.82,37.79570,-122.26677,290.682,0.046,0.0,-81,0.000,0.000,0.378
2014/10/02 09:33:23,1.82,37.79571,-122.26680,292.979,0.054,0.0,-81,0.000,0.000,0.370
