Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 SS (dBm),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/08/19 10:18:36,6.43,37.71781,-122.17756,60.696,23.923,0.0,-59,0.967,1.750,0.537
2014/08/19 10:18:41,6.43,37.71818,-122.17796,27.231,21.126,0.0,-59,0.937,1.333,0.576
2014/08/19 10:18:46,10.91,37.71824,-122.17852,22.310,26.388,0.0,-59,0.461,0.333,0.636
2014/08/19 10:18:51,6.43,37.71829,-122.17914,14.108,23.237,0.0,-59,0.256,0.167,0.683
2014/08/19 10:18:56,6.43,37.71830,-122.17956,24.278,9.986,0.0,-59,0.259,0.000,0.450
2014/08/19 10:19:01,6.42,37.71834,-122.17963,25.919,0.365,0.0,-59,0.296,0.625,1.693
2014/08/19 10:19:06,6.42,37.71833,-122.17961,18.373,1.194,0.0,-51,0.807,0.625,1.294
2014/08/19 10:19:11,8.58,37.71829,-122.17963,28.543,4.829,0.0,-51,0.685,1.667,3.153
2014/08/19 10:19:16,6.42,37.71845,-122.17963,29.856,11.457,0.0,-51,0.969,0.958,2.085
2014/08/19 10:19:21,8.59,37.71857,-122.17920,33.136,23.282,0.0,-51,0.607,0.000,0.000
2014/08/19 10:19:26,3.54,37.71874,-122.17858,36.745,28.073,0.0,-51,0.340,0.625,5.177
2014/08/19 10:19:31,3.92,37.71894,-122.17791,52.165,29.315,0.0,-51,0.841,1.000,3.229
2014/08/19 10:19:36,3.54,37.71912,-122.17717,75.787,32.710,0.0,-53,1.115,0.000,2.654
2014/08/19 10:19:41,3.54,37.71930,-122.17636,84.646,32.853,0.0,-53,0.526,1.000,0.000
2014/08/19 10:19:46,3.54,37.71946,-122.17556,79.724,30.166,0.0,-53,0.593,0.000,3.922
2014/08/19 10:19:51,4.17,37.71962,-122.17499,77.100,17.919,0.0,-53,0.425,0.667,5.167
2014/08/19 10:19:56,3.54,37.71948,-122.17477,62.336,13.982,0.0,-53,0.137,0.333,1.138
2014/08/19 10:20:01,3.54,37.71913,-122.17502,42.979,24.241,0.0,-53,0.325,0.000,0.000
2014/08/19 10:20:06,1.97,37.71868,-122.17545,47.572,28.177,0.0,-53,0.120,1.042,4.195
2014/08/19 10:20:11,2.65,37.71872,-122.17605,48.885,27.428,0.0,-81,0.094,0.708,4.869
2014/08/19 10:20:16,1.69,37.71922,-122.17657,43.963,34.255,0.0,-81,0.125,1.083,1.388
2014/08/19 10:20:21,2.09,37.71980,-122.17717,38.058,39.840,0.0,-81,0.390,0.000,4.288
2014/08/19 10:20:26,1.69,37.72049,-122.17788,36.417,48.266,0.0,-81,0.838,0.667,0.000
2014/08/19 10:20:31,2.09,37.72126,-122.17874,34.777,54.038,0.0,-81,0.478,0.000,5.737
2014/08/19 10:20:36,2.09,37.72214,-122.17964,34.121,56.844,0.0,-81,0.547,0.667,0.000
2014/08/19 10:20:41,2.09,37.72305,-122.18057,32.152,58.429,0.0,-73,0.459,0.708,3.702
2014/08/19 10:20:46,2.09,37.72400,-122.18153,31.824,62.288,0.0,-73,0.776,1.042,3.897
2014/08/19 10:20:51,2.09,37.72497,-122.18254,41.995,64.408,0.0,-73,0.585,0.000,0.000
2014/08/19 10:20:56,1.69,37.72601,-122.18348,53.806,63.388,0.0,-73,0.559,0.333,0.566
2014/08/19 10:21:01,2.09,37.72707,-122.18441,54.790,64.063,0.0,-73,0.389,1.583,2.018
2014/08/19 10:21:06,2.94,37.72813,-122.18533,43.963,63.746,0.0,-73,0.217,0.333,2.457
2014/08/19 10:21:11,1.69,37.72920,-122.18625,30.840,65.055,0.0,-83,0.257,0.708,0.000
2014/08/19 10:21:16,1.96,37.73030,-122.18719,25.262,66.729,0.0,-83,0.117,0.000,3.061
2014/08/19 10:21:21,1.69,37.73140,-122.18814,24.934,66.896,0.0,-83,0.058,0.333,6.266
2014/08/19 10:21:26,1.69,37.73250,-122.18911,20.997,66.824,0.0,-83,0.383,0.000,0.952
2014/08/19 10:21:31,2.09,37.73360,-122.19007,17.388,67.514,0.0,-83,0.301,0.708,0.766
2014/08/19 10:21:36,1.69,37.73474,-122.19108,15.748,69.704,0.0,-83,0.233,0.708,1.454
2014/08/19 10:21:41,1.69,37.73586,-122.19206,13.123,65.555,0.0,-69,0.332,0.708,1.360
2014/08/19 10:21:46,1.69,37.73693,-122.19300,10.171,65.199,0.0,-69,0.394,0.708,1.810
2014/08/19 10:21:51,1.42,37.73801,-122.19395,7.546,65.520,0.0,-69,0.000,0.000,1.718
2014/08/19 10:21:56,1.42,37.73911,-122.19492,6.562,67.432,0.0,-69,0.211,0.667,0.623
2014/08/19 10:22:01,1.42,37.74022,-122.19589,7.218,66.559,0.0,-69,0.137,0.708,0.612
2014/08/19 10:22:06,1.68,37.74128,-122.19683,8.202,63.623,0.0,-69,1.441,1.375,0.529
2014/08/19 10:22:11,1.42,37.74231,-122.19775,7.546,62.059,0.0,-69,1.433,1.750,0.629
2014/08/19 10:22:16,1.42,37.74333,-122.19865,7.218,61.904,0.0,-57,1.499,1.708,1.014
2014/08/19 10:22:21,1.34,37.74432,-122.19952,6.890,58.980,0.0,-57,0.555,0.000,2.337
2014/08/19 10:22:26,1.34,37.74530,-122.20038,6.890,60.596,0.0,-57,0.571,1.042,0.000
2014/08/19 10:22:31,1.34,37.74632,-122.20128,6.562,61.889,0.0,-57,0.459,1.667,3.806
2014/08/19 10:22:36,1.34,37.74729,-122.20213,6.234,55.504,0.0,-57,0.307,1.042,4.306
