Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/10/02 09:29:02,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,
2014/10/02 09:29:07,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,0.204
2014/10/02 09:29:12,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.091,0.292,0.446
2014/10/02 09:29:17,0.0,0.00000,0.00000,0.000,0.000,0.0,0,1.189,0.792,0.919
2014/10/02 09:29:22,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.983,0.333,0.788
2014/10/02 09:29:29,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.725,0.708,0.592
2014/10/02 09:29:34,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,2.031,1.167,0.188
2014/10/02 09:29:39,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,2.294,1.125,0.247
2014/10/02 09:29:44,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.539,0.417,0.297
2014/10/02 09:29:49,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.436,0.375,0.469
2014/10/02 09:29:54,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.439,0.500,0.261
2014/10/02 09:29:59,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.842,0.000,1.828
2014/10/02 09:30:04,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.872,0.417,0.353
2014/10/02 09:30:09,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.305,0.458,0.788
2014/10/02 09:30:14,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.936,0.250,0.569
2014/10/02 09:30:19,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.292,0.625,0.381
2014/10/02 09:30:24,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.419,0.000,0.625
2014/10/02 09:30:29,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.200,0.417,0.540
2014/10/02 09:30:34,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.905,0.417,0.268
2014/10/02 09:30:39,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.586,0.917,0.181
2014/10/02 09:30:44,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,2.292,0.542,0.343
2014/10/02 09:30:49,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,2.875,0.625,0.158
2014/10/02 09:30:54,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,3.256,0.625,0.234
2014/10/02 09:30:59,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,2.917,0.000,0.276
2014/10/02 09:31:04,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,2.750,0.500,0.237
2014/10/02 09:31:09,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,3.183,0.542,0.210
2014/10/02 09:31:14,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,2.908,0.625,0.339
2014/10/02 09:31:19,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,2.647,1.208,0.440
2014/10/02 09:31:24,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,1.670,0.792,0.232
2014/10/02 09:31:29,0.0,0.00000,0.00000,0.000,0.000,0.0,-67,1.400,0.000,0.627
2014/10/02 09:31:34,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.142,0.250,0.669
2014/10/02 09:31:39,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.194,0.292,0.821
2014/10/02 09:31:44,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.258,0.000,0.649
2014/10/02 09:31:49,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,1.147,0.375,0.202
2014/10/02 09:31:54,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,2.026
2014/10/02 09:31:59,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.510
2014/10/02 09:32:04,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.402
2014/10/02 09:32:09,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.389
2014/10/02 09:32:14,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.557
2014/10/02 09:32:19,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.490
2014/10/02 09:32:24,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.161
2014/10/02 09:32:29,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.210
2014/10/02 09:32:34,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.398
2014/10/02 09:32:39,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.462
2014/10/02 09:32:44,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.481
2014/10/02 09:32:49,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.389
2014/10/02 09:32:54,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.398
2014/10/02 09:32:59,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.377
2014/10/02 09:33:04,0.0,0.00000,0.00000,0.000,0.000,0.0,-71,0.000,0.000,0.681
2014/10/02 09:33:09,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.410
2014/10/02 09:33:14,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.409
2014/10/02 09:33:19,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.499
2014/10/02 09:33:24,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.554
2014/10/02 09:33:29,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.399
2014/10/02 09:33:34,0.0,0.00000,0.00000,0.000,0.000,0.0,-69,0.000,0.000,0.391
2014/10/02 09:33:39,4.4,37.79601,-122.26704,17.388,0.496,0.0,-71,0.000,0.000,0.429
2014/10/02 09:33:44,4.39,37.79608,-122.26703,156.824,2.236,0.0,-71,0.000,0.000,0.232
2014/10/02 09:33:49,4.39,37.79609,-122.26703,178.478,1.191,0.0,-71,0.000,0.000,2.632
2014/10/02 09:33:54,4.39,37.79601,-122.26703,-24.606,0.249,0.0,-71,0.000,0.000,0.403
2014/10/02 09:33:59,4.39,37.79597,-122.26704,-93.176,0.140,0.0,-71,0.000,0.000,0.797
2014/10/02 09:34:04,1.96,37.79600,-122.26692,9.514,0.052,0.0,-71,0.000,0.000,0.154
2014/10/02 09:34:09,1.95,37.79600,-122.26684,45.276,0.087,0.0,-71,0.000,0.000,0.599
2014/10/02 09:34:14,1.95,37.79597,-122.26681,54.462,0.298,0.0,-69,0.000,0.000,0.582
2014/10/02 09:34:19,1.95,37.79595,-122.26678,58.727,0.216,0.0,-69,0.000,0.000,0.177
2014/10/02 09:34:24,1.95,37.79591,-122.26674,60.367,0.240,0.0,-69,0.000,0.000,2.019
2014/10/02 09:34:29,1.95,37.79590,-122.26677,22.310,0.358,0.0,-69,0.000,0.000,0.676
2014/10/02 09:34:34,1.95,37.79587,-122.26690,-77.428,0.515,0.0,-69,0.000,0.000,0.391
2014/10/02 09:34:39,1.95,37.79587,-122.26699,-139.764,0.165,0.0,-69,0.000,0.000,0.416
2014/10/02 09:34:44,1.95,37.79589,-122.26706,-178.150,0.191,0.0,-73,0.000,0.000,0.431
2014/10/02 09:34:49,2.39,37.79590,-122.26710,-201.444,0.206,0.0,-73,0.000,0.000,0.423
2014/10/02 09:34:54,1.94,37.79590,-122.26714,-196.522,0.136,0.0,-73,0.000,0.000,0.430
2014/10/02 09:34:59,1.94,37.79589,-122.26717,-183.071,0.067,0.0,-73,0.000,0.000,0.402
2014/10/02 09:35:04,1.94,37.79587,-122.26718,-176.181,0.042,0.0,-73,0.000,0.000,0.418
2014/10/02 09:35:09,1.94,37.79584,-122.26718,-172.244,0.120,0.0,-73,0.000,0.000,0.411
2014/10/02 09:35:14,1.94,37.79583,-122.26718,-172.244,0.388,0.0,-71,0.000,0.000,0.670
2014/10/02 09:35:19,1.94,37.79581,-122.26722,-169.619,1.229,0.0,-71,0.000,0.000,0.429
2014/10/02 09:35:24,1.93,37.79578,-122.26727,-156.168,1.833,0.0,-71,0.000,0.000,0.670
2014/10/02 09:35:29,1.93,37.79578,-122.26731,-154.199,0.601,0.0,-71,0.000,0.000,0.442
2014/10/02 09:35:34,1.93,37.79577,-122.26738,-144.685,0.879,0.0,-71,0.000,0.000,0.390
2014/10/02 09:35:39,2.75,37.79579,-122.26735,-112.205,0.162,0.0,-71,0.000,0.000,0.399
2014/10/02 09:35:45,1.93,37.79582,-122.26730,-117.126,0.472,0.0,-71,0.000,0.000,0.498
2014/10/02 09:35:50,1.93,37.79585,-122.26722,-124.672,0.785,0.0,-71,0.000,0.000,0.423
2014/10/02 09:35:55,1.93,37.79586,-122.26719,-93.176,2.694,0.0,-71,0.000,0.000,0.471
2014/10/02 09:36:00,1.93,37.79585,-122.26716,-65.945,1.943,0.0,-71,0.000,0.000,0.529
2014/10/02 09:36:05,2.75,37.79585,-122.26714,-34.121,3.526,0.0,-71,0.006,0.042,0.142
2014/10/02 09:36:10,1.92,37.79591,-122.26721,15.748,2.998,0.0,-71,1.167,0.875,0.206
2014/10/02 09:36:15,2.32,37.79591,-122.26720,16.076,0.396,0.0,-71,0.854,1.500,0.436
2014/10/02 09:36:20,1.92,37.79590,-122.26719,23.950,1.580,0.0,-65,0.824,3.708,0.581
2014/10/02 09:36:25,2.66,37.79589,-122.26719,30.512,0.253,0.0,-65,1.056,3.583,0.482
2014/10/02 09:36:30,2.66,37.79590,-122.26719,42.323,0.528,0.0,-65,0.873,3.250,0.778
