Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 SS (dBm),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/09/19 13:03:04,1,37.76324,-121.43715,37.402,38.027,0.0,-53,0.275,0.833,0.698
2014/09/19 13:03:09,1,37.76317,-121.43819,23.622,42.944,0.0,-53,0.226,0.917,0.679
2014/09/19 13:03:14,1,37.76306,-121.43935,11.155,47.861,0.0,-53,0.105,0.708,0.000
2014/09/19 13:03:19,1,37.76290,-121.44057,13.451,50.147,0.0,-53,0.246,0.000,0.000
2014/09/19 13:03:24,1,37.76266,-121.44182,19.357,52.898,0.0,-53,0.000,0.917,0.342
2014/09/19 13:03:29,1,37.76234,-121.44312,29.528,54.314,0.0,-53,0.350,0.792,0.390
2014/09/19 13:03:34,1,37.76192,-121.44441,48.885,56.156,0.0,-63,0.523,1.417,0.595
2014/09/19 13:03:39,1,37.76138,-121.44578,47.900,64.389,0.0,-63,0.599,0.708,0.537
2014/09/19 13:03:44,1,37.76073,-121.44729,43.963,69.455,0.0,-63,0.322,0.708,0.746
2014/09/19 13:03:49,1,37.76009,-121.44888,41.667,70.688,0.0,-63,0.478,1.042,0.442
2014/09/19 13:03:54,1,37.75942,-121.45049,47.244,71.625,0.0,-63,0.536,1.167,0.464
2014/09/19 13:03:59,1,37.75879,-121.45205,58.727,66.507,0.0,-63,0.489,0.500,1.502
2014/09/19 13:04:04,1,37.75818,-121.45355,64.304,66.265,0.0,-57,0.252,0.375,0.738
2014/09/19 13:04:09,1,37.75757,-121.45503,61.352,66.322,0.0,-57,0.200,0.000,0.750
2014/09/19 13:04:14,1,37.75695,-121.45656,53.478,68.672,0.0,-57,0.266,0.000,0.330
2014/09/19 13:04:19,1,37.75632,-121.45811,50.853,69.092,0.0,-57,0.291,0.000,0.804
2014/09/19 13:04:24,1,37.75568,-121.45966,54.134,67.953,0.0,-57,0.406,0.042,0.465
2014/09/19 13:04:29,1,37.75505,-121.46120,63.320,69.217,0.0,-57,0.209,0.667,0.417
2014/09/19 13:04:34,1,37.75441,-121.46276,69.882,69.831,0.0,-57,0.272,1.042,0.518
2014/09/19 13:04:39,2,37.75376,-121.46436,67.585,70.888,0.0,-51,0.398,0.583,0.837
2014/09/19 13:04:44,2,37.75311,-121.46594,59.383,69.883,0.0,-51,0.379,0.000,1.302
2014/09/19 13:04:49,2,37.75247,-121.46752,58.399,70.244,0.0,-51,0.318,0.500,2.537
2014/09/19 13:04:54,2,37.75180,-121.46916,55.446,74.552,0.0,-51,0.000,0.417,2.177
2014/09/19 13:04:59,2,37.75106,-121.47090,54.462,79.482,0.0,-51,0.000,0.750,0.652
2014/09/19 13:05:04,2,37.75032,-121.47269,65.289,79.259,0.0,-51,0.000,1.250,0.390
